P1801-1	6	6	6	1	1
P1809	464	438	182	63	5
P1809-1	464	182	438	5	63
P181	64	62	64	1	3
P181-1	64	64	62	3	1
P1811	3914	3906	3908	2	4
P1811-1	3914	3908	3906	4	2
P1813	47	46	43	3	2
P1813-1	47	43	46	2	3
P1817	197	191	86	33	2
P1817-1	197	86	191	2	33
P1824	1	1	1	1	1
P1824-1	1	1	1	1	1
P183	17593	17495	397	2466	6
P183-1	17593	397	17495	6	2466
P1830	2412	1527	2119	6	24
P1830-1	2412	2119	1527	24	6
P184	16515	15404	9459	36	6
P184-1	16515	9459	15404	6	36
P1840	188	140	99	35	5
P1840-1	188	99	140	5	35
P1842	2	2	2	1	1
P1842-1	2	2	2	1	1
P1843	452	391	440	3	5
P1843-1	452	440	391	5	3
P1846	2	2	2	1	1
P1846-1	2	2	2	1	1
P185	3395	1898	3131	4	35
P185-1	3395	3131	1898	35	4
P1851	23	23	11	10	1
P1851-1	23	11	23	1	10
P1853	28157	28156	5	10547	2
P1853-1	28157	5	28156	2	10547
P1855	39	16	39	1	6
P1855-1	39	39	16	6	1
P186	572873	358326	2728	166080	21
P186-1	572873	2728	358326	21	166080
P1875	2919	2728	812	384	7
P1875-1	2919	812	2728	7	384
P1876	415	394	81	41	3
P1876-1	415	81	394	3	41
P1877	9139	8912	3401	273	4
P1877-1	9139	3401	8912	4	273
P1878	45	45	14	5	1
P1878-1	45	14	45	1	5
P1879	1611	1611	15	394	1
P1879-1	1611	15	1611	1	394
P1880	135	73	104	6	10
P1880-1	135	104	73	10	6
P1881	391	344	382	5	7
P1881-1	391	382	344	7	5
P1882	15	15	15	1	1
P1882-1	15	15	15	1	1
P1884	4766	4585	39	1754	7
P1884-1	4766	39	4585	7	1754
P1885	1521	1502	1496	3	3
P1885-1	1521	1496	1502	3	3
P1887	46	46	32	3	1
P1887-1	46	32	46	1	3
P1888	5	5	5	1	1
P1888-1	5	5	5	1	1
P1889	293748	268340	268789	60	60
P1889-1	293748	268789	268340	60	60
P189	2070	1945	1131	151	4
P189-1	2070	1131	1945	4	151
P1891	5109	1634	3671	49	588
P1891-1	5109	3671	1634	588	49
P1896	1	1	1	1	1
P1896-1	1	1	1	1	1
P1897	3	3	3	1	1
P1897-1	3	3	3	1	1
P1898	3	3	2	2	1
P1898-1	3	2	3	1	2
P19	1965589	1960744	173723	22677	6
P19-1	1965589	173723	1960744	6	22677
P190	42507	15253	15171	96	99
P190-1	42507	15171	15253	99	96
P1903	12	12	8	3	1
P1903-1	12	8	12	1	3
P1906	355	337	312	10	5
P1906-1	355	312	337	5	10
P1909	9	5	9	1	5
P1909-1	9	9	5	5	1
P1910	6	5	3	4	2
P1910-1	6	3	5	2	4
P1911	1	1	1	1	1
P1911-1	1	1	1	1	1
P1912	1	1	1	1	1
P1912-1	1	1	1	1	1
P1913	2	2	2	1	1
P1913-1	2	2	2	1	1
P1914	1	1	1	1	1
P1914-1	1	1	1	1	1
P1915	1	1	1	1	1
P1915-1	1	1	1	1	1
P1916	1	1	1	1	1
P1916-1	1	1	1	1	1
P1917	1	1	1	1	1
P1917-1	1	1	1	1	1
P1918	1	1	1	1	1
P1918-1	1	1	1	1	1
P1922	41	41	40	2	1
P1922-1	41	40	41	1	2
P1923	41494	8574	4262	679	78
P1923-1	41494	4262	8574	78	679
P1924	51	33	36	4	4
P1924-1	51	36	33	4	4
P193	912	874	382	69	5
P193-1	912	382	874	5	69
P194	1994	1861	1781	71	27
P194-1	1994	1781	1861	27	71
P1943	3	3	3	1	1
P1943-1	3	3	3	1	1
P1947	1	1	1	1	1
P1947-1	1	1	1	1	1
